0.257stalk-surface-below-ring=k+0.256stalk-surface-above-ring=k+0.234ring-type=l+0.231odor=f-0.215ring-type=p...,'0.244gill-attachment=a-0.24veil-color=w+0.24 stalk-color-above-ring=o+0.24 stalk-color-below-ring=o+0.225habitat=l...',class
-4.657334,-1.894644,e
-4.673889,-2.044739,e
-2.680185,-0.287735,e
-3.282388,-2.563816,e
-2.523248,-0.52497,e
-3.295828,-1.16719,p
-2.620277,-0.809948,e
-3.537443,-2.328205,e
-2.939927,-0.721791,p
-4.071117,-1.961399,e
-2.355465,-1.563707,e
-3.637548,-2.430055,e
-3.14482,-0.777842,e
-2.265563,-1.501754,e
-3.624011,-2.573153,e
-2.834342,-2.86474,e
-3.376145,-2.326016,e
-3.739205,-2.209715,e
-4.228749,-2.246379,e
-4.23046,-2.32776,e
-4.052597,-2.221418,e
-2.887241,-1.280394,e
-3.610456,-2.483306,e
-3.136838,-0.834515,e
-2.770087,-0.349688,e
-3.37533,-1.960324,e
-3.98046,-2.418259,e
-4.224906,-2.414185,e
-4.743666,-2.105905,e
-3.614299,-2.3155,e
-3.887125,-2.237042,e
-3.884621,-2.251118,e
-3.01638,-1.222038,e
-2.900998,-1.820564,e
-4.218211,-2.449725,e
-1.972263,-2.118153,e
-4.657334,-1.894644,e
-4.922179,-1.872859,e
-2.905158,-1.934699,e
-4.814967,-2.179624,e
-2.250494,-1.856331,e
-4.230037,-2.225246,e
-2.10454,-0.939877,e
-3.800169,-2.282165,e
-2.744705,-2.713194,e
-4.672601,-2.065872,e
-4.838216,-2.29418,e
-3.36601,-2.48738,e
-3.297064,-2.471603,e
-3.628975,-2.223287,e
-3.048404,-1.365614,p
-2.670336,-1.306659,e
-2.177469,-0.755103,e
-3.546642,-2.27859,e
-2.488312,-1.725803,e
-3.983785,-2.12854,p
-4.48802,-2.078074,e
-2.214056,-1.29235,e
-3.372704,-2.45184,e
-2.363447,-1.507034,e
-3.077233,-2.423743,e
-2.860573,-0.3885,e
-4.930161,-1.816186,e
-2.177759,-0.428842,e
-4.161092,-2.209469,e
-2.160593,-1.794377,e
-4.134199,-2.058104,e
-4.146248,-2.140755,e
-4.403182,-2.147452,e
-2.84843,-0.331039,e
-3.459685,-2.323713,e
-4.649352,-1.951317,e
-3.865439,-2.275886,e
-2.804663,-2.492578,e
-2.343322,-1.506246,e
-3.717714,-1.166944,p
-4.741787,-1.863597,e
-5.087793,-2.101166,e
-4.485516,-2.09215,e
-4.399775,-2.14433,e
-3.707974,-2.151833,e
-4.928873,-1.837319,e
-2.195025,-0.978689,e
-2.770394,-1.598935,e
-3.069888,-2.519263,e
-5.006631,-1.841812,e
-3.265833,-2.413721,e
-3.617317,-2.608693,e
-4.052597,-2.221418,e
-2.573652,-1.348669,e
-4.666148,-1.88336,e
-4.240057,-1.899987,p
-3.159789,-2.581216,e
-2.372854,-1.008372,e
-3.881994,-2.425981,e
-4.470839,-2.184363,e
-3.873421,-2.219213,e
-3.273815,-2.357048,e
-2.748792,-0.851509,p
-4.148875,-1.965891,e
-2.762411,-1.655608,e
-4.056904,-1.973032,p
-2.139923,-2.184599,e
-2.785225,-0.721522,e
-4.829643,-2.087411,e
-2.710179,-0.871901,e
-4.044615,-2.278091,e
-3.885909,-2.229984,e
-3.151807,-2.637889,e
-2.18703,-2.398875,e
-1.964281,-2.174826,e
-4.300886,-2.049538,e
-4.588389,-1.878867,e
-3.621876,-0.999803,p
-2.282368,-0.96956,e
-4.308868,-1.992865,e
-2.522663,-0.548112,e
-4.3952,-2.204126,e
-1.964281,-2.174826,e
-2.911466,-1.346051,e
-2.521957,-2.489145,e
-3.543371,-1.242653,p
-2.537065,-0.811422,e
-4.080977,-2.147034,e
-4.735093,-1.899136,e
-4.846198,-2.237506,e
-2.793207,-0.664849,e
-4.580407,-1.93554,e
-3.957634,-2.406218,e
-4.238442,-2.271087,e
-3.293411,-1.841697,e
-3.380342,-1.607679,p
-4.393321,-1.961818,e
-4.403182,-2.147452,e
-2.529792,-0.771136,e
-2.019339,-1.355814,e
-2.837396,-1.494645,e
-3.29037,-2.507143,e
-5.095776,-2.044493,e
-3.509758,-1.111994,p
-4.658165,-1.940033,e
-3.162586,-0.362579,p
-4.218211,-2.449725,e
-3.90482,-2.438022,e
-2.520194,-2.148271,e
-2.833619,-1.532659,e
-2.823239,-1.816072,e
-4.332117,-2.10742,e
-2.629301,-1.478667,e
-4.161092,-2.209469,e
-3.826153,-1.84356,p
-4.16543,-2.115987,e
-2.731782,-0.747958,e
-4.146415,-2.301682,e
-4.75036,-2.070365,e
-3.363188,-1.902863,e
-3.630854,-2.465595,e
-3.950939,-2.441758,e
-2.441205,-1.511526,e
-2.35531,-1.730913,e
-2.242512,-1.913004,e
-3.877927,-2.286657,e
-4.058559,-2.077867,e
-4.566677,-2.351504,e
-4.131572,-2.232968,e
-3.901802,-2.144829,e
-4.146415,-2.301682,e
-2.421304,-2.834856,e
-1.930335,-0.627265,e
-3.570747,-2.098657,p
-3.433533,-2.42113,e
-4.393081,-2.17987,e
-2.26766,-0.490795,e
-4.470839,-2.184363,e
-3.602473,-2.539979,e
-1.314865,-0.446562,e
-4.839504,-2.273046,e
-3.553336,-2.24305,e
-2.567833,-2.071169,e
-3.592036,-1.768445,e
-3.707974,-2.151833,e
-3.300468,-1.327191,p
-3.529461,-2.384878,e
-2.462755,-1.070325,e
-3.628975,-2.223287,e
-3.45346,-1.45217,p
-2.26766,-0.490795,e
-4.48975,-2.392401,e
-2.787937,-0.876394,e
-2.770671,-0.326547,e
-3.898126,-2.473562,e
-1.93688,-0.873431,e
-4.300886,-2.049538,e
-4.150754,-2.2082,e
-2.586195,-1.731083,e
-4.565389,-2.372638,e
-4.066541,-2.021194,e
-3.081956,-0.600905,p
-4.063134,-2.018072,e
-3.957634,-2.406218,e
-2.996216,-0.653085,p
-4.999937,-1.877352,e
-4.087671,-2.111494,e
-3.877927,-2.286657,e
-3.61715,-2.447766,e
-1.487503,-0.59341,e
-2.905158,-1.934699,e
-4.142181,-2.001431,e
-2.117223,-1.361094,e
-2.982917,-1.939191,e
-4.474483,-2.221172,e
-4.477533,-2.148823,e
-3.538659,-2.335263,e
-1.779942,-1.110666,e
-3.36601,-2.48738,e
-3.086561,-1.593377,e
-2.195025,-0.978689,e
-4.073236,-1.985654,e
-3.013147,-1.71439,e
-2.408624,-1.255619,e
-2.209533,-2.316193,e
-2.496294,-1.669129,e
-4.566677,-2.351504,e
-4.494881,-2.203461,e
-2.524355,-2.262405,e
-2.378934,-1.412134,e
-2.026122,-1.643504,e
-3.765274,-1.402254,p
-1.814741,-2.37853,e
-3.459685,-2.323713,e
-2.545547,-1.888641,e
-2.547227,-2.225161,e
-3.202396,-1.304997,e
-2.821476,-1.475198,e
-3.714668,-2.116293,e
-2.372187,-0.691638,e
-2.532337,-2.205732,e
-1.779358,-1.133808,e
-3.372704,-2.45184,e
-3.134293,-1.855052,e
-3.08203,-2.576724,e
-2.893015,-1.877238,e
-3.980801,-2.073375,e
-3.190236,-1.049263,e
-4.739327,-2.199387,e
-4.733805,-1.92027,e
-3.27011,-1.329751,e
-4.16543,-2.115987,e
-3.631994,-2.51648,e
-3.973765,-2.453799,e
-3.352235,-1.372371,p
-3.624116,-1.890039,e
-4.317441,-2.199633,e
-4.221887,-2.120992,e
-2.276581,-0.516243,e
-3.863913,-0.888721,p
-2.355465,-1.563707,e
-3.41061,-0.761956,e
-4.157448,-2.17266,e
-3.995477,-1.981162,e
-4.415007,-1.922973,e
-3.545354,-2.299723,e
-4.485516,-2.09215,e
-2.724978,-1.327513,e
-3.285429,-1.898371,e
-2.14904,-2.861548,e
-4.754004,-2.107174,e
-3.732511,-2.245255,e
-2.62914,-1.160372,e
-3.616489,-1.087144,p
-4.407757,-2.087657,e
-4.75036,-2.070365,e
-2.756774,-0.794836,p
-4.337249,-1.918481,e
-4.74731,-2.142714,e
-3.802288,-2.306421,e
-3.892603,-2.194445,e
-4.139554,-2.176295,e
-3.858745,-2.311426,e
-2.363447,-1.507034,e
-4.581695,-1.914407,e
-3.05501,-1.556812,e
-2.911378,-1.537152,e
-2.681635,-2.612264,e
-3.088712,-1.036901,p
-3.814845,-2.189952,e
-2.37227,-1.031513,e
-3.855931,-0.945394,p
-3.624011,-2.573153,e
-2.059139,-2.799595,e
-4.122373,-2.282584,e
-4.673889,-2.044739,e
-3.360218,-1.315698,p
-3.285429,-1.898371,e
-4.666148,-1.88336,e
-2.938331,-0.392993,e
-2.351304,-1.449573,e
-5.10247,-2.008953,e
-2.989251,-2.312538,e
-2.547221,-1.041745,e
-3.610456,-2.483306,e
-2.689617,-2.555591,e
-3.622281,-2.258827,e
-4.05644,-2.053612,e
-2.84843,-0.331039,e
-4.928873,-1.837319,e
-2.10454,-0.939877,e
-3.889976,-2.369308,e
-4.253286,-2.339801,e
-2.116023,-1.705458,e
-4.3952,-2.204126,e
-3.8753,-2.461521,e
-1.806759,-2.435204,e
-4.401894,-2.168586,e
-3.987495,-2.037835,e
-3.127907,-2.158748,e
-4.393321,-1.961818,e
-3.363188,-1.902863,e
-4.922179,-1.872859,e
-1.640047,-0.252631,e
-4.491038,-2.371267,e
-4.213905,-2.177665,e
-3.89382,-2.201502,e
-1.869843,-1.17262,e
-4.494714,-2.042534,e
-2.497621,-2.05364,e
-4.829643,-2.087411,e
-4.329267,-1.975154,e
-2.04204,-2.179319,e
-2.273545,-1.44508,e
-4.74731,-2.142714,e
-3.069888,-2.519263,e
-4.207211,-2.213205,e
-3.739205,-2.209715,e
-2.875126,-0.783475,e
-2.575816,-2.014496,e
-4.138266,-2.197428,e
-3.272527,-2.378181,e
-3.364721,-2.508513,e
-2.442435,-2.143779,e
-3.016255,-2.606734,e
-4.324135,-2.164093,e
-2.60755,-0.775628,e
-3.111979,-1.930462,e
-2.255518,-0.433334,e
-2.760366,-1.817469,e
-2.603342,-1.192155,e
-4.407757,-2.087657,e
-2.613149,-0.586924,e
-4.150754,-2.2082,e
-4.23861,-2.432014,e
-3.358027,-2.544053,e
-2.432762,-0.486158,e
-2.15261,-1.85105,e
-2.770671,-0.326547,e
-2.266551,-2.744242,e
-4.325423,-2.14296,e
-2.865054,-1.243194,e
-2.903395,-1.593825,e
-2.903395,-1.593825,e
-2.014638,-0.877923,e
-3.45347,-1.180699,p
-3.426084,-0.596166,p
-2.743718,-1.470706,e
-3.074048,-2.633397,e
-4.509558,-2.111248,e
-2.690537,-2.364968,e
-3.045988,-2.040121,e
-4.130355,-2.22591,e
-4.335961,-1.939614,e
-3.722651,-2.05962,e
-3.364721,-2.508513,e
-4.138266,-2.197428,e
-4.329267,-1.975154,e
-3.808151,-2.225492,e
-3.26511,-0.52786,p
-2.967487,-1.508909,e
-2.79734,-1.21844,e
-2.787937,-0.876394,e
-2.222039,-1.235677,e
-2.926479,-1.160085,e
-3.965783,-2.510472,e
-2.697452,-0.837582,e
-2.898834,-1.154738,e
-2.883109,-0.726802,e
-2.780439,-2.426922,e
-2.433223,-1.568199,e
-4.228749,-2.246379,e
-4.210229,-2.506398,e
-3.631994,-2.51648,e
-4.580407,-1.93554,e
-4.727111,-1.95581,e
-1.72484,-2.316577,e
-3.941671,-0.893213,p
-2.67251,-1.593655,e
-4.064422,-1.996939,e
-2.743718,-1.470706,e
-4.154397,-2.245009,e
-3.008398,-1.278712,e
-1.972263,-2.118153,e
-2.441205,-1.511526,e
-4.378645,-2.054031,e
-3.895929,-1.904726,p
-2.265563,-1.501754,e
-3.858525,-1.267256,p
-3.46574,-2.430113,e
-4.831522,-2.329719,e
-2.7238,-0.804631,e
-3.29037,-2.507143,e
-2.432762,-0.486158,e
-4.058559,-2.077867,e
-2.537572,-2.391723,e
-3.903911,-1.848053,p
-2.826625,-2.83182,e
-3.170315,-1.183404,e
-4.573713,-1.97108,e
-3.638836,-2.408922,e
-2.027321,-1.299141,e
-1.779358,-1.133808,e
-3.553336,-2.24305,e
-2.838623,-0.93627,e
-2.362885,-2.465838,e
-2.276931,-2.460829,e
-2.523248,-0.52497,e
-3.873589,-2.38014,e
-1.716857,-2.37325,e
-3.16183,-0.881393,p
-2.619693,-0.833089,e
-4.30758,-2.013998,e
-3.297064,-2.471603,e
-3.622281,-2.258827,e
-2.177175,-0.451983,e
-2.254933,-0.456475,e
-3.377884,-2.206298,e
-4.930161,-1.816186,e
-3.214727,-1.379372,p
-3.024238,-2.550061,e
-3.101004,-1.938205,e
-3.868553,-1.048721,p
-4.672601,-2.065872,e
-4.746021,-2.163847,e
-2.105124,-0.916735,e
-3.880283,-2.3446,e
-4.399775,-2.14433,e
-2.913141,-1.878026,e
-3.715956,-2.09516,e
-2.47007,-0.696919,e
-3.793715,-2.099652,e
-2.611858,-2.551098,e
-3.790795,-1.044229,p
-4.146248,-2.140755,e
-3.988783,-2.016702,e
-4.216923,-2.470859,e
-2.689617,-2.555591,e
-2.984147,-2.571443,e
-4.491038,-2.371267,e
-2.370952,-1.468807,e
-2.83064,-0.992943,e
-2.890852,-1.211411,e
-4.401894,-2.168586,e
-4.313175,-1.744479,p
-2.529828,-2.062624,e
-3.009561,-2.642274,e
-3.991767,-2.071867,p
-3.545354,-2.299723,e
-3.005064,-0.622956,p
-4.413719,-1.944107,e
-4.223766,-2.3633,e
-3.578729,-2.041984,p
-3.933689,-0.949886,p
-3.078824,-1.710687,e
-2.913141,-1.878026,e
-3.169976,-2.707196,e
-2.821476,-1.475198,e
-4.665907,-2.101412,e
-4.733805,-1.92027,e
-3.111031,-1.719671,e
-2.893015,-1.877238,e
-4.573713,-1.97108,e
-2.539239,-1.098418,e
-2.549301,-1.310789,e
-2.960637,-2.203072,e
-3.105518,-1.869405,e
-4.321157,-1.687806,p
-2.826625,-2.83182,e
-4.207211,-2.213205,e
-2.687002,-1.978046,e
-3.950939,-2.441758,e
-4.421702,-1.887433,e
-3.032105,-1.649974,e
-2.736723,-2.769867,e
-4.664029,-1.859104,e
-2.697452,-0.837582,e
-2.512212,-2.204944,e
-2.347328,-1.787586,e
-4.131572,-2.232968,e
-1.93688,-0.873431,e
-2.698941,-1.900579,e
-3.958922,-2.385085,e
-4.821661,-2.144084,e
-3.210504,-1.135714,e
-4.245304,-2.396474,e
-2.13309,-0.071097,e
-3.453089,-1.964816,e
-3.135889,-2.102075,e
-4.080977,-2.147034,e
-2.736723,-2.769867,e
-3.808982,-2.270881,e
-2.869596,-1.057219,e
-3.8753,-2.461521,e
-4.079689,-2.168167,e
-2.990899,-1.882518,e
-2.735735,-1.527379,e
-2.815257,-1.872745,e
-2.512212,-2.204944,e
-2.254933,-0.456475,e
-4.223766,-2.3633,e
-5.094487,-2.065626,e
-3.529461,-2.384878,e
-2.282368,-0.96956,e
-3.785733,-2.156325,e
-4.421702,-1.887433,e
-2.513975,-2.545818,e
-3.526541,-1.329455,p
-3.287845,-1.223863,p
-3.273815,-2.357048,e
-3.58999,-1.930307,e
-3.620993,-2.27996,e
-2.054182,-2.23678,e
-2.768348,-1.760796,e
-4.727111,-1.95581,e
-4.739327,-2.199387,e
-3.604299,-1.333948,p
-3.956409,-1.272536,p
-4.215193,-2.156532,e
-4.343943,-1.882941,e
-3.293411,-1.841697,e
-2.364435,-2.749522,e
-2.050022,-2.122646,e
-4.059291,-2.185878,e
-3.873589,-2.38014,e
-2.380169,-0.634965,e
-2.845133,-1.377335,e
-2.026781,-0.935384,e
-2.442435,-2.143779,e
-2.310741,-1.250339,e
-2.635077,-1.26556,e
-2.990899,-1.882518,e
-2.062165,-2.180107,e
-4.480038,-2.134747,e
-2.938331,-0.392993,e
-4.409876,-2.111913,e
-2.026781,-0.935384,e
-4.063134,-2.018072,e
-1.362214,-0.0415,e
-3.881994,-2.425981,e
-2.627095,-1.322233,e
-4.751648,-2.049232,e
-3.731223,-2.266388,e
-4.466501,-2.277845,e
-4.05644,-2.053612,e
-4.558695,-2.408177,e
-2.586195,-1.731083,e
-3.052247,-1.849035,e
-3.287099,-1.471206,p
-4.478821,-2.127689,e
-4.337249,-1.918481,e
-2.923097,-0.808594,p
-3.013046,-0.566283,p
-3.122522,-1.024509,e
-3.782812,-1.100902,p
-2.265308,-2.418415,e
-2.602113,-2.266897,e
-4.838216,-2.29418,e
-2.195012,-2.342202,e
-1.716857,-2.37325,e
-4.245304,-2.396474,e
-2.857071,-1.299868,e
-4.754004,-2.107174,e
-3.637548,-2.430055,e
-2.434453,-2.200452,e
-2.615702,-1.623134,e
-4.581695,-1.914407,e
-3.814845,-2.189952,e
-3.965783,-2.510472,e
-4.158736,-2.151526,e
-5.095776,-2.044493,e
-2.602113,-2.266897,e
-3.461071,-1.908143,e
-2.529082,-0.868096,e
-3.37117,-1.84619,e
-4.473195,-2.242305,e
-2.177759,-0.428842,e
-3.09341,-0.899214,e
-3.061905,-2.575936,e
-3.096694,-0.980228,p
-4.315563,-1.957325,e
-2.812646,-2.435905,e
-5.007919,-1.820678,e
-4.317441,-2.199633,e
-2.513975,-2.545818,e
-3.094237,-1.578847,e
-4.248039,-1.843314,p
-3.643865,-1.943149,p
-3.609168,-2.504439,e
-4.401063,-2.123197,e
-2.710179,-0.871901,e
-3.891289,-1.744725,p
-3.858745,-2.311426,e
-2.303958,-1.354303,e
-2.462088,-0.753592,e
-4.999937,-1.877352,e
-3.127907,-2.158748,e
-4.846198,-2.237506,e
-2.520194,-2.148271,e
-4.13705,-2.190371,e
-4.401063,-2.123197,e
-4.665907,-2.101412,e
-3.260469,-0.367859,p
-2.165032,-0.394522,e
-2.911378,-1.537152,e
-4.236731,-2.189706,e
-2.757944,-0.292227,e
-3.800169,-2.282165,e
-4.253286,-2.339801,e
-4.140893,-2.022565,e
-2.599715,-2.493637,e
-3.322415,-2.061934,e
-4.087671,-2.111494,e
-2.433223,-1.568199,e
-4.221887,-2.120992,e
-2.567833,-2.071169,e
-3.873421,-2.219213,e
-2.275353,-0.760383,e
-2.825637,-1.589332,e
-2.918403,-2.412623,e
-2.613149,-0.586924,e
-2.318723,-1.193666,e
-3.638836,-2.408922,e
-5.094487,-2.065626,e
-4.315563,-1.957325,e
-4.502863,-2.146788,e
-3.896838,-2.494695,e
-2.020237,-0.689219,e
-2.232795,-2.451575,e
-2.834607,-2.775147,e
-3.773256,-1.345581,p
-2.665717,-2.076449,e
-3.800409,-2.064112,e
-4.680583,-2.009199,e
-3.724529,-2.301928,e
-2.662354,-1.363332,e
-4.072995,-2.203707,e
-4.651471,-1.975573,e
-4.30758,-2.013998,e
-3.179369,-0.580041,p
-2.78727,-0.559661,e
-3.466379,-2.288173,e
-3.700138,-1.501089,p
-1.806759,-2.435204,e
-3.973765,-2.453799,e
-2.01814,-1.700177,e
-4.216923,-2.470859,e
-3.800409,-2.064112,e
-2.683656,-0.950344,p
-3.6854,-1.121766,p
-3.884621,-2.251118,e
-2.955057,-2.009177,e
-3.644595,-1.322453,p
-2.833619,-1.532659,e
-5.006631,-1.841812,e
-3.466379,-2.288173,e
-3.338228,-0.372352,p
-3.806863,-2.246625,e
-4.573372,-2.315964,e
-2.984147,-2.571443,e
-4.558695,-2.408177,e
-2.356453,-2.806195,e
-4.415007,-1.922973,e
-2.020237,-0.689219,e
-3.89382,-2.201502,e
-4.413719,-1.944107,e
-3.040422,-1.422287,p
-3.222709,-1.322699,p
-3.418102,-0.652839,p
-4.651471,-1.975573,e
-2.657735,-2.133122,e
-2.681635,-2.612264,e
-2.860573,-0.3885,e
-4.573372,-2.315964,e
-4.343943,-1.882941,e
-2.716996,-1.384187,e
-4.407025,-1.979646,e
-3.866727,-2.254753,e
-2.825637,-1.589332,e
-3.724529,-2.301928,e
-2.698036,-0.81444,e
-2.529792,-0.771136,e
-4.139554,-2.176295,e
-1.83985,-0.588453,e
-2.56567,-1.405343,e
-2.027365,-0.912243,e
-2.657735,-2.133122,e
-3.08203,-2.576724,e
-1.814741,-2.37853,e
-3.352966,-0.751675,p
-4.066541,-2.021194,e
-3.651848,-1.886475,p
-3.451703,-2.380386,e
-4.044615,-2.278091,e
-2.087273,-0.39003,e
-2.931079,-0.751921,p
-4.735093,-1.899136,e
-3.024123,-1.706648,e
-3.272527,-2.378181,e
-3.048494,-2.426887,e
-3.81027,-2.249747,e
-3.958922,-2.385085,e
-4.509558,-2.111248,e
-2.770087,-0.349688,e
-4.822949,-2.122951,e
-3.038005,-2.096794,e
-2.512206,-1.90737,e
-3.028477,-2.334573,e
-3.048982,-0.6107,e
-2.488312,-1.725803,e
-2.165032,-0.394522,e
-4.142181,-2.001431,e
-4.501575,-2.167921,e
-2.931945,-0.778464,p
-2.273545,-1.44508,e
-3.715956,-2.09516,e
-2.744705,-2.713194,e
-3.61715,-2.447766,e
-3.732511,-2.245255,e
-3.617317,-2.608693,e
-2.705351,-0.441034,e
-1.72484,-2.316577,e
-2.445212,-1.792866,e
-3.888265,-2.287927,e
-2.01814,-1.700177,e
-3.722651,-2.05962,e
-3.898126,-2.473562,e
-2.135327,-0.07768,e
-4.659453,-1.918899,e
-2.284913,-2.404156,e
-4.497732,-2.335727,e
-4.473195,-2.242305,e
-2.521957,-2.489145,e
-4.148875,-1.965891,e
-2.620277,-0.809948,e
-3.02113,-1.657717,e
-4.051309,-2.242551,e
-4.129067,-2.247044,e
-3.061905,-2.575936,e
-2.522663,-0.548112,e
-3.793715,-2.099652,e
-2.599715,-2.493637,e
-2.054182,-2.23678,e
-3.280509,-2.321508,e
-1.502278,-0.251436,e
-2.266551,-2.744242,e
-4.385339,-2.018491,e
-3.895108,-2.180369,e
-4.154397,-2.245009,e
-3.135889,-2.102075,e
-3.972477,-2.474932,e
-4.746021,-2.163847,e
-4.483056,-2.42794,e
-3.785733,-2.156325,e
-2.04204,-2.179319,e
-3.172021,-2.545335,e
-2.729828,-1.750744,e
-2.963039,-1.952504,e
-3.995477,-1.981162,e
-2.962801,-2.338276,e
-3.770669,-1.043441,p
-2.429286,-2.778183,e
-2.666873,-0.732883,p
-3.187351,-0.523368,p
-4.821661,-2.144084,e
-2.389097,-2.825873,e
-3.865439,-2.275886,e
-3.012185,-1.784115,e
-3.372543,-1.595466,e
-4.481177,-2.185632,e
-4.659453,-1.918899,e
-2.012573,-0.862106,e
-2.878346,-2.136418,e
-2.979588,-2.03269,e
-2.638964,-1.758515,e
-2.705603,-1.685087,e
-3.536155,-2.349339,e
-2.177175,-0.451983,e
-3.383821,-2.311487,e
-2.639202,-1.372742,e
-3.134167,-1.967662,e
-3.599659,-1.173947,p
-2.85825,-1.82275,e
-5.014614,-1.785139,e
-2.679259,-1.648947,e
-2.870736,-2.141118,e
-3.175208,-0.465906,p
-3.881571,-2.323467,e
-2.920542,-1.054897,e
-3.137726,-1.878388,e
-3.731223,-2.266388,e
-2.967241,-1.448272,e
-2.956409,-1.681894,e
-1.220129,-0.065729,e
-3.892603,-2.194445,e
-3.196246,-2.610992,e
-4.082424,-1.615007,p
-2.817093,-1.99231,e
-1.89304,-0.553182,e
-2.217269,-2.198883,e
-3.106345,-2.549038,e
-4.393081,-2.17987,e
-2.964146,-1.564584,e
-2.914296,-0.534459,p
-3.899271,-1.688052,p
-4.134199,-2.058104,e
-2.415702,-1.935014,e
-2.92843,-2.194088,e
-2.431114,-1.803174,e
-5.087793,-2.101166,e
-3.544117,-0.99531,p
-0.937002,0.614218,e
-2.60755,-0.775628,e
-3.90482,-2.438022,e
-2.872409,-2.03123,e
-2.682555,-2.421641,e
-1.498794,0.185932,e
-1.640728,-0.251747,e
-2.894834,-2.319385,e
-3.194785,-1.309697,e
-3.692911,-1.038949,p
-1.809768,-0.393779,e
-3.142866,-1.780627,e
-3.490271,-2.453626,e
-3.004335,-1.516894,e
-1.679414,0.095758,e
-1.589512,0.157711,e
-2.952655,-2.259745,e
-1.585014,-0.33633,e
-2.571698,-2.351455,e
-4.477533,-2.148823,e
-1.176152,-0.135866,e
-3.625299,-2.55202,e
-2.299195,-2.763919,e
-0.956463,-0.016044,e
