@relation 'pulsar_stars_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M2'

@attribute '0.407 Excess kurtosis of the integrated profile+0.388 Skewness of the integrated profile+0.373target_class-0.353 Mean of the integrated profile+0.344 Standard deviation of the DM-SNR curve...' numeric
@attribute '-0.447 Excess kurtosis of the DM-SNR curve-0.428 Skewness of the DM-SNR curve+0.389 Standard deviation of the integrated profile+0.353 Standard deviation of the DM-SNR curve+0.316 Mean of the integrated profile...' numeric
@attribute target {N,Y}

@data
-0.840615,-1.105412,N
0.554216,2.835014,N
-0.679489,0.377715,N
0.236549,-0.921524,N
-1.082029,0.287769,N
0.334367,-0.99992,N
-1.34289,0.784438,N
-0.832743,-0.1923,N
-0.190715,-0.520099,N
-1.30252,0.90389,N
-0.203998,-0.27536,N
-0.101837,1.748883,N
-0.900881,0.858968,N
-0.073941,1.435004,N
-0.543171,0.361675,N
-1.153143,-1.244947,N
-0.563852,-0.517519,N
-0.165034,0.756567,N
5.534116,-0.780922,Y
-1.247963,-0.026328,N
-1.289202,0.498468,N
-0.506348,-2.38071,N
-0.046987,0.711538,N
0.386759,-1.22192,N
-1.733322,-1.960664,N
-1.351282,-0.381439,N
0.201829,-2.455706,N
-1.094818,0.257379,N
0.876515,1.497315,N
-0.971411,0.949768,N
-0.261942,-0.014441,N
-0.957005,-0.070854,N
-0.981533,-0.312092,N
-0.240359,1.834831,N
-0.262232,0.991496,N
0.510152,2.32456,N
-1.929901,-0.515434,N
-0.824052,1.144093,N
-0.081068,-1.922327,N
-1.219254,-0.444404,N
-1.359938,-2.33689,N
-0.83602,1.023657,N
-0.184602,-0.39012,N
-0.704655,0.615894,N
2.044294,1.57989,Y
-2.561129,-1.361748,N
-1.02636,0.276647,N
-1.278789,-0.412811,N
-1.01213,-0.17888,N
0.460464,1.728236,N
-1.452378,-0.058633,N
-1.285952,0.407349,N
-1.69892,-1.3364,N
-0.615008,-0.447962,N
-2.59599,-5.316941,N
-1.941301,-2.33391,N
-0.906614,-1.621401,N
-0.332712,1.899913,N
-0.863444,0.193026,N
-0.006228,1.881561,N
-0.183574,-0.091903,N
-0.777917,0.194922,N
1.401577,1.619007,N
0.516244,0.290219,N
0.059591,1.918963,N
0.332571,-0.470914,N
-0.801915,-0.043618,N
9.494042,-1.110332,Y
-1.494736,-0.223575,N
-0.343605,0.185653,N
0.108397,-1.6546,N
-0.576237,0.413307,N
-0.083845,0.431015,N
-0.797882,0.621666,N
-0.785498,-0.063998,N
-1.699647,-1.481248,N
-0.875192,0.805351,N
0.20682,1.116625,N
3.820525,-0.440829,Y
0.519469,1.19365,N
-0.820593,0.673106,N
-2.091998,-0.038535,N
-0.767878,-0.096623,N
-0.829256,-0.30108,N
-1.807485,-0.498808,N
0.644396,-0.29767,N
1.011492,-0.701527,N
-0.746758,2.260924,N
1.254288,-0.600865,N
-0.825262,0.407785,N
-0.305727,-1.429874,N
-1.439099,0.185129,N
-1.485898,-0.127666,N
-0.131011,1.311271,N
1.603328,-1.535301,Y
0.449372,0.820181,N
-0.631861,-1.311519,N
-1.325998,0.690331,N
-0.84681,-0.860686,N
-0.415043,0.907671,N
-0.405899,0.278907,N
-1.006349,0.374057,N
-0.109118,0.044133,N
-1.538257,0.409449,N
-0.666975,0.702311,N
1.229854,0.94463,N
-1.291799,-0.761438,N
-1.322314,-0.345803,N
0.344068,-1.307631,N
0.682413,-1.277958,N
0.420916,1.893206,N
-1.061317,-0.074726,N
-0.106433,1.80885,N
-0.676358,0.794544,N
-0.660803,-1.069612,N
-0.875493,0.389577,N
-1.601803,-0.18733,N
-0.482526,-0.874594,N
0.759635,-1.313404,Y
-0.891954,0.36583,N
-1.395277,0.629805,N
0.809303,2.650975,N
-1.181613,-1.043111,N
11.02944,-4.285579,Y
-0.724675,-1.198003,N
-0.579634,1.114928,N
-1.445966,-0.278523,N
-0.806291,1.74942,N
-1.290672,-0.588218,N
-0.465342,1.466627,N
0.144273,1.157195,N
-0.362136,-1.275762,N
-0.377761,-0.952402,N
-1.138095,0.979538,N
-1.045492,-0.223208,N
-0.392528,0.896584,N
-0.670618,0.596449,N
-0.485544,0.468299,N
-1.600255,-0.742065,N
-0.619878,-0.690858,N
-1.100759,0.293394,N
-0.311281,1.069907,N
-0.014089,1.641874,N
0.941522,-1.175312,Y
-0.579927,0.815988,N
-1.022457,-0.141352,N
-0.094587,-0.739721,N
0.250363,-0.714472,N
-0.80299,-0.414473,N
0.230375,-0.843862,N
-2.428611,-0.401119,N
-0.098679,0.08445,N
-0.053901,-0.541747,N
0.390409,-1.772555,N
-0.777874,1.550586,N
-1.361076,1.13179,N
-1.47149,-0.171157,N
-1.217021,-0.955913,N
-0.443737,0.949406,N
-1.319764,-1.24165,N
-0.261753,-0.386455,N
-0.611443,0.8257,N
-0.542285,0.60312,N
-0.851252,-1.076491,N
0.068888,0.580687,N
-1.090645,-0.65623,N
-0.255208,-1.646792,N
-0.381784,-0.01869,N
-0.308046,0.696795,N
-0.556347,0.610373,N
-0.844964,0.431383,N
-0.615974,-1.427625,N
0.595128,-1.972384,N
-0.001401,-0.948115,N
1.148514,2.395929,N
-1.471283,-0.114591,N
3.589603,-1.450449,Y
3.734142,-1.668157,Y
-1.03881,0.077976,N
-0.040625,1.947628,N
-0.189066,0.961665,N
0.307446,-0.0267,N
-0.632109,0.345953,N
-0.797187,0.056832,N
-0.299497,1.227733,N
-0.437009,-0.685795,N
-0.504298,-0.699642,N
-1.354807,-0.883442,N
-0.866688,0.563118,N
-0.480911,0.287946,N
-0.887776,-0.865928,N
-1.211426,0.872753,N
-1.159062,0.228553,N
-0.564688,0.266051,N
-0.81942,0.207961,N
-0.577684,-1.224299,N
-0.186918,-0.730991,N
0.300476,2.498874,N
4.148207,-1.125729,Y
5.599709,1.449024,Y
4.372257,-1.127242,Y
-2.241994,-2.957639,N
-1.408524,0.484599,N
0.649799,-1.388213,N
1.343684,5.429673,N
-1.226128,0.579521,N
-0.283304,-2.248873,N
7.538005,-0.904731,Y
-0.425301,-1.729279,N
10.53737,-1.634376,Y
1.853637,6.464356,N
-1.758509,-0.109533,N
-1.350262,-0.917347,N
-1.610507,-1.783224,N
1.019434,-0.394929,N
-0.227302,-2.559862,N
-0.527498,1.334727,N
2.554355,4.048669,N
-0.59194,-0.013804,N
-0.961341,-0.468312,N
0.50168,-0.664213,N
-1.228306,1.318493,N
-0.826977,0.19429,N
-0.728943,-0.252257,N
-1.163952,-0.56702,N
-1.211838,-0.594213,N
-1.216052,-0.622778,N
-0.628226,0.055423,N
-0.998488,0.049184,N
2.173739,-1.990415,Y
1.561792,0.006165,Y
-0.782241,0.30694,N
-0.141649,0.268697,N
-0.44729,-1.145142,N
-1.168657,-0.52969,N
0.518963,-0.759058,N
-1.936694,-0.646343,N
0.97437,3.429038,N
-0.968427,0.471254,N
-1.773853,-2.304722,N
1.415277,1.798319,N
11.699345,-3.236193,Y
-0.512013,0.740793,N
8.465329,-2.216518,Y
12.085148,-3.4975,Y
-0.520673,1.456464,N
-1.400364,-0.016315,N
-0.451962,1.115854,N
-1.009141,-0.251474,N
1.143252,-1.484117,Y
-0.695258,-0.60519,N
-1.354358,-0.708284,N
-0.825194,0.655679,N
-1.845094,-0.610514,N
-0.602698,0.238901,N
-0.482885,0.780558,N
1.165502,-1.219995,N
0.78073,-1.306781,N
-0.195083,-0.418249,N
9.585077,-1.428406,Y
-0.267651,-1.232508,N
-1.105064,0.498678,N
-0.27563,0.881753,N
-0.291169,1.376795,N
-0.885744,-0.433995,N
-1.383682,0.133139,N
-0.074758,1.303814,N
0.003318,0.255714,N
4.650621,-2.403585,Y
-1.32398,-0.341,N
0.478619,-0.405059,N
0.582923,-0.622611,N
0.514467,0.6795,N
-0.324716,1.617565,N
0.214845,1.13406,N
-0.894081,-0.737986,N
-1.462665,0.111784,N
-1.513898,0.332328,N
-1.239493,0.471383,N
-0.836247,-0.322723,N
9.99715,-2.525624,Y
-0.719867,0.140598,N
-0.381311,0.370898,N
-0.016089,3.148692,N
0.823525,-0.25181,N
-0.619606,-1.111113,N
-1.336085,0.307483,N
3.645175,3.935697,N
1.188911,-0.260944,Y
-0.126245,1.739619,N
-0.890225,1.264999,N
0.376281,0.304339,N
0.861332,-0.99334,N
-1.857464,-0.058144,N
2.762362,1.386531,N
5.584585,-0.231266,Y
0.387433,2.469608,N
3.904993,-0.24786,Y
-0.24045,0.26102,N
-0.676909,0.889821,N
-2.243123,-1.865948,N
-0.664437,0.896897,N
-1.007101,1.626984,N
0.392828,-2.958933,Y
-1.599402,0.375645,N
-1.525263,0.198765,N
-2.282416,-2.300788,N
-0.328363,1.549297,N
-1.087259,0.958211,N
-0.715769,0.494481,N
0.801717,0.057564,N
-1.348286,0.060826,N
-4.145492,-3.573114,N
1.516426,3.722295,N
0.652604,-0.62122,N
-0.730095,-0.976213,N
-0.590937,0.497883,N
1.249327,1.939662,N
-2.541712,-2.012764,N
-1.088076,1.245366,N
-0.207722,1.87003,N
5.788903,-1.533837,Y
-0.652593,0.812174,N
-1.150972,0.928511,N
-0.965763,0.146057,N
3.183568,1.29329,Y
0.063902,2.054114,N
0.32652,-1.642993,N
-0.775907,0.25445,N
-1.739452,-0.2909,N
-1.666195,-1.024353,N
0.530286,0.391395,N
-1.025841,-0.045852,N
1.315934,1.183314,N
-1.390713,-2.464657,N
-1.320205,-0.146137,N
3.256016,2.822616,N
-1.749496,-0.844774,N
-1.817544,-0.617511,N
0.253485,-1.416273,N
-1.642765,0.822471,N
-1.557807,0.442083,N
-0.939787,-2.406129,N
-0.566937,-1.460388,N
-0.115259,0.079066,N
7.548934,-0.598726,Y
0.152758,-0.573052,N
-0.724536,0.111719,N
6.151421,-1.519248,Y
-1.138782,0.474291,N
-0.90581,-0.814351,N
-1.954021,0.576083,N
5.092118,-1.876593,Y
-0.73213,-0.3347,N
-0.405077,0.080665,N
6.14257,-0.812844,Y
0.660956,0.328622,N
2.561619,-0.930145,Y
-1.221895,-0.471961,N
4.244059,-1.435808,Y
2.496085,-1.594088,Y
5.234481,-2.237579,Y
-0.976148,0.2338,N
8.092978,-3.117874,Y
3.22339,-1.507551,Y
-3.502948,-1.324095,N
0.09067,0.380707,N
-1.02721,-0.417905,N
-0.606663,-0.107257,N
-1.477374,0.087496,N
-0.955695,0.643397,N
-1.04451,0.336459,N
-0.419235,0.041825,N
-1.824493,-0.366666,N
-0.32377,-0.557164,N
-0.468526,-0.909794,N
-0.883212,-0.938057,N
6.669376,-1.822908,Y
9.152288,-2.562407,Y
-0.457475,-0.608974,N
-1.166712,-0.111016,N
0.714476,2.327583,N
-0.52492,0.424964,N
-0.205245,0.104913,N
-1.997291,1.010454,N
-1.515177,-1.041587,N
-0.641877,-0.231702,N
0.081016,-0.100387,N
-1.135074,-0.066205,N
0.353278,1.905999,N
-1.471985,-0.607025,N
-0.302124,-0.353092,N
0.504974,-1.324338,N
-0.966021,-0.502133,N
-1.339914,0.403069,N
-0.717739,1.108975,N
-0.065739,-1.988577,N
-1.190027,-0.903961,N
-0.092859,2.049134,N
-1.043654,-0.130764,N
-1.579742,-1.51386,N
-2.269335,-3.112034,N
0.180424,0.930721,N
-1.608803,-0.57196,N
0.690651,-0.097735,N
-0.736044,0.667353,N
0.257482,-0.973661,N
-0.448243,-0.761619,N
8.397218,-2.487247,Y
5.350419,-1.337325,Y
1.579367,-0.052176,Y
-0.662029,0.32763,N
-0.324859,0.965473,N
-0.247498,-0.258413,N
9.928711,-2.398018,Y
-1.080501,0.125334,N
-0.813278,1.176237,N
-1.860387,-1.153404,N
3.298141,-1.21535,Y
-1.025993,1.355221,N
0.06994,0.508631,N
-0.830438,0.465396,N
-0.195753,-0.571763,N
-0.747635,-0.126866,N
0.501677,0.319204,N
7.278643,-1.962187,Y
-1.453353,-0.407302,N
-0.680212,-0.959786,N
-0.281806,0.452162,N
-0.966151,-0.065193,N
-1.176287,-0.471287,N
-0.576191,-0.089228,N
-0.704168,0.596201,N
-1.281416,-0.711571,N
-2.914228,-2.48956,N
3.920932,1.979705,Y
1.306895,0.167713,Y
-0.732608,0.05116,N
-0.994965,0.301559,N
8.949294,-2.339714,Y
-0.660581,0.929696,N
-0.600774,0.45296,N
-0.06225,-0.957077,N
4.85635,-0.64351,Y
6.633406,0.93192,Y
-1.547283,-1.424309,N
-0.309713,-0.185932,N
0.896122,2.04019,N
-0.231217,0.645434,N
-0.762299,0.434449,N
-1.031173,0.457788,N
-0.637346,0.056998,N
-1.390528,-0.579556,N
-0.807061,0.824276,N
0.761559,-1.027797,N
-0.33594,-0.362036,N
3.165557,-0.58444,Y
-0.459039,-0.455165,N
-0.691199,-0.054238,N
-2.337835,-1.91661,N
0.366255,1.413319,N
-0.858198,-0.299204,N
-0.91708,1.017366,N
-0.938507,-1.322845,N
-0.925698,-0.168256,N
-0.123895,-1.003762,N
-0.944279,0.857103,N
0.587812,-0.424795,N
0.281661,-1.207329,N
-1.757019,-0.174821,N
-0.759246,-0.315676,N
-0.77355,0.325628,N
-1.240896,-0.478398,N
-2.298759,-1.603296,N
-0.783375,0.695314,N
-1.457126,-1.426385,N
-0.732255,0.314881,N
-2.862805,-2.773749,N
-0.294882,-1.664621,N
-1.118934,-0.273703,N
-1.009405,0.352464,N
-0.553354,0.579361,N
-0.124577,0.239803,N
-0.711339,-0.683293,N
-0.909348,0.035068,N
-0.591828,0.783686,N
-0.622973,-0.11677,N
-1.862664,0.100734,N
4.756397,0.805234,Y
-1.290646,-4.113709,N
3.092866,0.045949,Y
7.38852,-2.636847,Y
-0.091326,0.415875,N
-0.267681,0.648986,N
-1.80482,-0.519626,N
-0.881256,1.113719,N
-2.21432,-1.864522,N
-0.504621,0.405737,N
0.130531,0.327241,N
-0.209921,0.608362,N
-1.352519,-0.039957,N
-1.32577,-0.865403,N
-0.345892,2.166381,N
0.147205,2.003827,N
-0.330697,-0.958038,N
0.348305,-1.028429,N
-0.624964,1.097286,N
-0.034079,-1.201275,N
5.389327,-0.475643,Y
-0.121859,-0.340638,N
-0.851864,-2.422746,N
-0.832858,-1.058108,N
-1.239532,-0.561381,N
1.41807,4.216118,N
-0.42836,-1.901999,N
-2.061802,-0.951028,N
-0.490117,-0.328004,N
-0.188188,2.382935,N
-1.015529,-0.001444,N
-1.100942,-0.490573,N
-0.602252,-0.478614,N
-0.262426,-0.687627,N
-0.128986,0.559417,N
-0.599524,-0.492713,N
-1.905571,0.227262,N
-0.123666,1.192159,N
-0.500471,-0.192312,N
-0.654425,0.858095,N
5.445733,0.639325,Y
-0.22946,-0.718458,N
0.40329,0.411109,N
-0.147211,-1.640128,N
-0.074179,-0.553884,N
-0.709239,-0.488783,N
4.099074,-0.776843,Y
-0.083161,0.825284,N
-0.973384,0.176149,N
0.579022,-1.002746,N
0.293036,1.091167,N
-0.933176,0.049685,N
0.122934,1.985609,N
-1.118329,0.339198,N
-0.041581,-0.10177,N
-1.680341,-0.055247,N
-0.960255,-1.350912,N
-3.014382,-1.986832,N
-0.347771,0.521863,N
-2.148718,-1.538636,N
1.700007,-1.194976,Y
1.658591,3.816224,N
-0.474714,1.345751,N
-0.167534,0.357368,N
-0.274556,-0.587218,N
-1.432831,0.028921,N
-1.278707,-0.910305,N
0.499709,-1.200343,N
-2.002535,-1.299915,N
-1.155549,0.34634,N
-0.512529,-2.118287,N
-0.186177,-0.144591,N
-1.204476,-4.678034,N
0.274167,0.750895,N
-0.828708,1.162653,N
8.728152,-3.623865,Y
0.064717,2.703226,N
0.062827,-0.674603,N
-0.359619,1.114171,N
3.553553,-0.650122,Y
-0.260296,0.43537,N
0.402915,-0.698952,N
-0.349709,0.983829,N
4.739262,-0.422489,Y
-0.316595,-1.227813,N
0.643841,1.77751,N
-0.931082,0.343567,N
-1.560965,-2.654558,N
0.136152,0.137506,N
-0.183014,-0.041067,N
-0.891432,0.197299,N
-0.335553,0.299244,N
-0.606834,-0.043875,N
-1.197225,0.377496,N
-1.174485,0.070425,N
-1.139319,0.684038,N
-0.140273,-1.864755,N
-1.715407,-0.466149,N
-0.517213,-0.281998,N
0.115142,0.30348,N
0.048327,1.55418,N
-0.090712,0.644582,N
0.247015,-0.685119,N
-0.836916,0.749842,N
-1.217926,-1.772445,N
-3.367542,-2.96055,N
-0.783932,-0.055113,N
-0.167603,-1.85384,N
-1.091486,0.808546,N
0.141619,-0.168893,N
-2.139576,-2.209958,N
0.511694,-0.457874,N
-0.221081,0.345214,N
-0.203647,0.10698,N
-1.387972,1.220281,N
-0.688227,0.130242,N
-1.154788,0.001695,N
-0.826405,1.179165,N
-0.94125,-0.284993,N
1.340385,4.844495,N
-0.430888,-0.986629,N
-0.775694,-0.752114,N
-1.259527,-0.71268,N
-2.065294,1.000542,N
-1.980861,0.076773,N
-1.089066,0.040854,N
-1.123193,-0.845446,N
-0.320035,-2.30252,N
-0.563719,0.759618,N
0.58448,-0.656862,N
0.158205,0.124072,N
-1.04251,-0.184452,N
-0.237549,1.543629,N
0.1748,0.416826,N
-2.096758,-1.939447,N
-1.294277,-3.91948,N
1.656743,5.303985,N
-2.277032,-2.736148,N
-0.866601,-1.148438,N
1.860568,4.320004,N
-1.191546,1.224571,N
-1.329536,-0.114831,N
-0.444712,0.869158,N
-0.172861,0.378903,N
-1.627487,-2.059774,N
-1.516454,-0.798477,N
0.008586,-3.421065,N
-1.227924,0.294075,N
-1.367998,0.710115,N
-1.119508,-0.216704,N
-1.167798,0.48335,N
-0.542,0.121617,N
0.029287,0.738337,N
1.515276,2.129537,N
-1.514086,-1.557252,N
-1.323792,-0.822218,N
-0.64812,-0.200058,N
-0.364472,-0.118301,N
-0.432246,0.324251,N
-0.271789,0.268115,N
0.253462,0.38816,N
-0.838789,-0.093017,N
0.637981,2.498087,N
-0.733307,0.508289,N
-0.289895,0.755502,N
0.544642,0.01906,N
-1.022306,0.335571,N
-1.555523,0.318011,N
-0.91074,-1.914084,N
-2.077093,-1.603986,N
-0.785996,0.437101,N
0.174478,-2.043981,N
-0.626709,-0.188252,N
-0.997783,-0.381105,N
-0.231955,1.365541,N
0.393681,-0.403124,N
7.169005,-2.872599,Y
-1.061464,0.440077,N
-0.362425,1.968261,N
0.145759,0.509248,N
-0.504321,0.013391,N
-0.88617,0.758372,N
-1.382449,0.123565,N
-1.816533,-1.982337,N
1.179676,2.835148,N
-1.323563,-1.89142,N
0.390304,1.570523,N
0.498677,-1.045658,N
-1.420502,-0.766625,N
-0.791307,-0.174408,N
-0.306373,-0.221386,N
-0.165073,-0.726581,N
-0.969947,-0.275087,N
-1.363147,0.022439,N
0.037806,1.078753,N
-0.290462,0.340508,N
0.184252,-0.038529,N
0.053347,2.525318,N
-0.973732,2.582787,N
0.247966,0.871149,N
2.321963,2.753777,N
-0.032486,0.865051,N
-1.004754,0.787509,N
0.400365,-1.063379,N
-0.906041,0.127487,N
-1.382175,0.719457,N
-0.173699,-0.235989,N
-2.964506,-3.469109,N
-1.109899,-0.022483,N
0.297792,1.095384,N
-0.536094,0.746538,N
-1.454818,-2.040557,N
-0.91582,0.858488,N
-0.374652,0.533075,N
0.326741,-1.453461,N
-0.816929,-0.230307,N
0.379249,-1.666721,N
-0.396148,-1.093688,N
-1.386616,-0.334864,N
-1.225367,0.367242,N
-0.926447,0.83337,N
-0.772836,-0.332996,N
0.41803,2.045488,N
0.474052,0.920771,N
-1.105796,1.343039,N
-1.187436,0.864031,N
-1.151788,-1.652277,N
-1.520063,0.414119,N
-1.106008,0.723364,N
2.525527,4.291818,N
-0.515581,-2.303355,N
-0.150714,2.397527,N
-0.744111,-1.971645,N
0.075464,-1.125757,N
-0.513938,1.330436,N
-0.177495,1.189709,N
-0.829428,0.722488,N
-1.142682,-0.994082,N
-1.109892,-0.42805,N
-0.627258,0.444016,N
-1.122143,0.863737,N
-0.872923,0.864112,N
-1.1915,2.344659,N
-1.254882,-1.610891,N
-0.159702,0.286589,N
-4.479772,-2.462708,N
-1.384858,2.07926,N
0.132123,-0.958614,N
0.4965,-1.099542,N
-0.70463,-0.055478,N
-0.348208,1.587311,N
-1.110204,0.502922,N
-1.171517,0.711533,N
-0.356858,-1.870854,N
-1.70513,-0.326692,N
-1.957607,-0.999721,N
-0.476914,0.292568,N
0.262808,-0.990765,N
0.175125,0.671073,N
-1.13236,0.143458,N
-3.527341,-0.483851,N
-0.70687,0.600506,N
-0.333759,1.820373,N
1.788276,4.764811,N
-1.366152,1.365113,N
-0.038753,0.623032,N
0.109726,-0.473841,N
-0.497665,0.066094,N
0.315753,0.424849,N
-1.373844,0.378856,N
-0.542759,-0.075431,N
-0.452236,1.292165,N
-0.185699,2.626709,N
-1.783797,1.732351,N
-0.496035,0.738761,N
0.074373,-0.761167,N
-1.504101,-0.005273,N
-0.76192,0.550424,N
-0.800595,-0.349962,N
-0.406859,1.974837,N
-0.848361,-0.219595,N
7.771567,-1.736887,Y
-1.66092,-1.152779,N
-0.205481,1.886348,N
-0.519291,0.00815,N
-1.424946,1.225664,N
1.617371,3.410949,N
-1.145536,0.528204,N
-0.171647,0.828646,N
-0.995714,-0.503257,N
-4.033907,-2.929751,N
-1.017996,-0.172621,N
-0.963667,-0.070487,N
-0.210434,3.252913,N
-0.580495,-0.761787,N
-0.612025,-2.033352,N
-0.389693,0.221365,N
-2.522885,-3.500363,N
-1.395918,0.313271,N
-0.862255,-0.631711,N
-0.692349,1.042388,N
-0.855639,-0.053104,N
-1.174969,-0.972483,N
-0.438977,0.705511,N
-0.195302,1.678434,N
-0.586614,-0.142358,N
-0.616531,0.457106,N
-0.179564,-1.989972,N
-1.17321,-0.155499,N
-1.689998,-0.989056,N
-1.049053,-0.259751,N
1.924682,3.707551,N
-0.478721,-0.532274,N
-4.313814,-0.901216,N
-3.551417,-0.818573,N
-0.019746,-0.291631,N
-1.597994,-0.101665,N
0.151187,-0.140828,N
-0.845483,0.384379,N
0.150964,2.769489,N
0.418127,1.650204,N
-1.117296,1.293086,N
0.265272,0.962197,N
0.157788,-0.708385,N
2.09591,2.357529,N
-0.874114,0.108197,N
-1.152278,0.103796,N
-0.975442,0.670974,N
-0.535564,-0.334161,N
-1.482829,-0.656818,N
-0.820642,-0.7358,N
-0.736804,0.432473,N
-0.385697,1.190321,N
0.294297,-1.420119,N
1.682592,2.773715,N
-0.067359,-0.005508,N
-0.539376,-0.249392,N
-0.683565,-0.011848,N
-0.643153,0.44156,N
-0.456195,0.030707,N
-0.279854,-1.43044,N
-0.379043,1.819707,N
-0.687167,-0.368024,N
2.103817,1.643495,Y
7.351686,-2.549839,Y
0.78494,-2.634744,N
-1.432742,-0.140388,N
-1.415876,-1.158429,N
3.075779,4.796285,N
-0.093564,0.364774,N
-0.720194,-0.630033,N
-0.077952,0.252445,N
0.442085,0.320267,N
-2.036016,-0.34017,N
-0.517896,-0.631692,N
-0.956367,1.549982,N
-1.011404,-0.434577,N
-0.637046,0.694961,N
0.378215,0.335321,N
-1.656275,0.691989,N
-0.234867,1.551891,N
-2.111463,0.390909,N
